paper_name,predicted_label
P001,1
P002,0
P003,0
P004,1
P005,1
P006,0
P007,1
P008,1
P009,1
P010,1
P011,1
P012,1
P013,1
P014,1
P015,1
P016,1
P017,1
P018,1
P019,1
P020,0
P021,1
P022,0
P023,1
P024,1
P025,1
P026,1
P027,1
P028,1
P029,1
P030,1
P031,1
P032,0
P033,1
P034,1
P035,1
P036,0
P037,1
P038,1
P039,0
P040,1
P041,0
P042,1
P043,0
P044,1
P045,1
P046,1
P047,0
P048,0
P049,1
P050,1
P051,1
P052,1
P053,0
P054,1
P055,1
P056,0
P057,1
P058,1
P059,1
P060,1
P061,1
P062,0
P063,1
P064,1
P065,0
P066,1
P067,1
P068,1
P069,0
P070,0
P071,1
P072,1
P073,0
P074,1
P075,1
P076,1
P077,0
P078,1
P079,1
P080,1
P081,0
P082,1
P083,1
P084,1
P085,1
P086,0
P087,1
P088,1
P089,1
P090,1
P091,1
P092,1
P093,1
P094,0
P095,1
P096,0
P097,0
P098,0
P099,1
P100,0
P101,1
P102,1
P103,1
P104,1
P105,0
P106,1
P107,0
P108,1
P109,1
P110,1
P111,1
P112,1
P113,1
P114,1
P115,1
P116,1
P117,1
P118,1
P119,0
P120,1
P121,1
P122,1
P123,1
P124,1
P125,1
P126,0
P127,1
P128,1
P129,0
P130,0
P131,1
P132,1
P133,1
P134,0
P135,1
